customer_id,cluster,cluster_name
1,2,Moderate Risk - Average
2,2,Moderate Risk - Average
3,2,Moderate Risk - Average
4,2,Moderate Risk - Average
5,2,Moderate Risk - Average
6,2,Moderate Risk - Average
7,2,Moderate Risk - Average
8,2,Moderate Risk - Average
9,2,Moderate Risk - Average
10,2,Moderate Risk - Average
11,2,Moderate Risk - Average
12,2,Moderate Risk - Average
13,2,Moderate Risk - Average
14,2,Moderate Risk - Average
15,2,Moderate Risk - Average
16,2,Moderate Risk - Average
17,2,Moderate Risk - Average
18,2,Moderate Risk - Average
19,2,Moderate Risk - Average
20,2,Moderate Risk - Average
21,2,Moderate Risk - Average
22,2,Moderate Risk - Average
23,2,Moderate Risk - Average
24,2,Moderate Risk - Average
25,2,Moderate Risk - Average
26,2,Moderate Risk - Average
27,2,Moderate Risk - Average
28,2,Moderate Risk - Average
29,2,Moderate Risk - Average
30,2,Moderate Risk - Average
31,2,Moderate Risk - Average
32,2,Moderate Risk - Average
33,2,Moderate Risk - Average
34,2,Moderate Risk - Average
35,2,Moderate Risk - Average
36,2,Moderate Risk - Average
37,2,Moderate Risk - Average
38,2,Moderate Risk - Average
39,2,Moderate Risk - Average
40,2,Moderate Risk - Average
41,2,Moderate Risk - Average
42,2,Moderate Risk - Average
43,2,Moderate Risk - Average
44,2,Moderate Risk - Average
45,2,Moderate Risk - Average
46,2,Moderate Risk - Average
47,2,Moderate Risk - Average
48,2,Moderate Risk - Average
49,2,Moderate Risk - Average
50,2,Moderate Risk - Average
51,2,Moderate Risk - Average
52,2,Moderate Risk - Average
53,2,Moderate Risk - Average
54,2,Moderate Risk - Average
55,2,Moderate Risk - Average
56,2,Moderate Risk - Average
57,2,Moderate Risk - Average
58,2,Moderate Risk - Average
59,2,Moderate Risk - Average
60,2,Moderate Risk - Average
61,2,Moderate Risk - Average
62,2,Moderate Risk - Average
63,2,Moderate Risk - Average
64,2,Moderate Risk - Average
65,2,Moderate Risk - Average
66,2,Moderate Risk - Average
67,2,Moderate Risk - Average
68,2,Moderate Risk - Average
69,2,Moderate Risk - Average
70,2,Moderate Risk - Average
71,2,Moderate Risk - Average
72,2,Moderate Risk - Average
73,2,Moderate Risk - Average
74,2,Moderate Risk - Average
75,2,Moderate Risk - Average
76,2,Moderate Risk - Average
77,2,Moderate Risk - Average
78,2,Moderate Risk - Average
79,2,Moderate Risk - Average
80,2,Moderate Risk - Average
81,2,Moderate Risk - Average
82,2,Moderate Risk - Average
83,2,Moderate Risk - Average
84,2,Moderate Risk - Average
85,2,Moderate Risk - Average
86,2,Moderate Risk - Average
87,2,Moderate Risk - Average
88,2,Moderate Risk - Average
89,2,Moderate Risk - Average
90,2,Moderate Risk - Average
91,2,Moderate Risk - Average
92,2,Moderate Risk - Average
93,2,Moderate Risk - Average
94,2,Moderate Risk - Average
95,2,Moderate Risk - Average
96,2,Moderate Risk - Average
97,2,Moderate Risk - Average
98,2,Moderate Risk - Average
99,2,Moderate Risk - Average
100,2,Moderate Risk - Average
101,2,Moderate Risk - Average
102,2,Moderate Risk - Average
103,2,Moderate Risk - Average
104,2,Moderate Risk - Average
105,2,Moderate Risk - Average
106,2,Moderate Risk - Average
107,2,Moderate Risk - Average
108,2,Moderate Risk - Average
109,2,Moderate Risk - Average
110,2,Moderate Risk - Average
111,2,Moderate Risk - Average
112,2,Moderate Risk - Average
113,2,Moderate Risk - Average
114,2,Moderate Risk - Average
115,2,Moderate Risk - Average
116,2,Moderate Risk - Average
117,2,Moderate Risk - Average
118,2,Moderate Risk - Average
119,2,Moderate Risk - Average
120,2,Moderate Risk - Average
121,2,Moderate Risk - Average
122,2,Moderate Risk - Average
123,2,Moderate Risk - Average
124,2,Moderate Risk - Average
125,2,Moderate Risk - Average
126,2,Moderate Risk - Average
127,2,Moderate Risk - Average
128,2,Moderate Risk - Average
129,2,Moderate Risk - Average
130,2,Moderate Risk - Average
131,2,Moderate Risk - Average
132,2,Moderate Risk - Average
133,2,Moderate Risk - Average
134,2,Moderate Risk - Average
135,2,Moderate Risk - Average
136,2,Moderate Risk - Average
137,2,Moderate Risk - Average
138,2,Moderate Risk - Average
139,2,Moderate Risk - Average
140,2,Moderate Risk - Average
141,2,Moderate Risk - Average
142,2,Moderate Risk - Average
143,2,Moderate Risk - Average
144,2,Moderate Risk - Average
145,2,Moderate Risk - Average
146,2,Moderate Risk - Average
147,2,Moderate Risk - Average
148,2,Moderate Risk - Average
149,2,Moderate Risk - Average
150,2,Moderate Risk - Average
151,2,Moderate Risk - Average
152,2,Moderate Risk - Average
153,2,Moderate Risk - Average
154,2,Moderate Risk - Average
155,2,Moderate Risk - Average
156,2,Moderate Risk - Average
157,2,Moderate Risk - Average
158,2,Moderate Risk - Average
159,2,Moderate Risk - Average
160,2,Moderate Risk - Average
161,2,Moderate Risk - Average
162,2,Moderate Risk - Average
163,2,Moderate Risk - Average
164,2,Moderate Risk - Average
165,2,Moderate Risk - Average
166,2,Moderate Risk - Average
167,2,Moderate Risk - Average
168,2,Moderate Risk - Average
169,2,Moderate Risk - Average
170,2,Moderate Risk - Average
171,2,Moderate Risk - Average
172,2,Moderate Risk - Average
173,2,Moderate Risk - Average
174,2,Moderate Risk - Average
175,2,Moderate Risk - Average
176,2,Moderate Risk - Average
177,2,Moderate Risk - Average
178,2,Moderate Risk - Average
179,2,Moderate Risk - Average
180,2,Moderate Risk - Average
181,2,Moderate Risk - Average
182,2,Moderate Risk - Average
183,2,Moderate Risk - Average
184,2,Moderate Risk - Average
185,2,Moderate Risk - Average
186,2,Moderate Risk - Average
187,2,Moderate Risk - Average
188,2,Moderate Risk - Average
189,2,Moderate Risk - Average
190,2,Moderate Risk - Average
191,2,Moderate Risk - Average
192,2,Moderate Risk - Average
193,2,Moderate Risk - Average
194,2,Moderate Risk - Average
195,2,Moderate Risk - Average
196,2,Moderate Risk - Average
197,2,Moderate Risk - Average
198,2,Moderate Risk - Average
199,2,Moderate Risk - Average
200,2,Moderate Risk - Average
201,2,Moderate Risk - Average
202,2,Moderate Risk - Average
203,2,Moderate Risk - Average
204,2,Moderate Risk - Average
205,2,Moderate Risk - Average
206,2,Moderate Risk - Average
207,2,Moderate Risk - Average
208,2,Moderate Risk - Average
209,2,Moderate Risk - Average
210,0,Moderate Risk - Average
211,2,Moderate Risk - Average
212,2,Moderate Risk - Average
213,2,Moderate Risk - Average
214,2,Moderate Risk - Average
215,2,Moderate Risk - Average
216,2,Moderate Risk - Average
217,2,Moderate Risk - Average
218,2,Moderate Risk - Average
219,2,Moderate Risk - Average
220,2,Moderate Risk - Average
221,2,Moderate Risk - Average
222,2,Moderate Risk - Average
223,2,Moderate Risk - Average
224,2,Moderate Risk - Average
225,2,Moderate Risk - Average
226,2,Moderate Risk - Average
227,2,Moderate Risk - Average
228,2,Moderate Risk - Average
229,2,Moderate Risk - Average
